 cada 1,0s: ps -eo pid,ppid,stat,pcpu,pmem,nlwp,comm --sort=-pcpu | head -20               bruno-VMware20-1: Mon Sep 14 04:55:46 2026

    PID    PPID STAT %CPU %MEM NLWP COMMAND
  23192   16200 Rl    410 10.7   14 llama-server
   3235    2920 Ssl  17.9  4.5   28 gnome-shell
  12384    3235 Sl    8.1  7.3  111 firefox
  20886    2920 Sl    2.0  4.8   29 ptyxis
  13346   12540 Sl    1.5  3.0   27 Isolated Web Co
  17747   12540 Sl    1.0  3.5   23 Isolated Web Co
  22264   12540 Sl    0.8  2.3   22 Isolated Web Co
  13677   13653 Ssl   0.8  9.7   38 python3
   1510       1 Ssl   0.7  0.6   13 containerd
  21803    2920 Sl    0.6  3.6   30 gnome-text-edit
  17853   12540 Sl    0.6  1.8   21 Isolated Web Co
  22745   12540 Sl    0.5  1.4   21 Isolated Web Co
   2956    2920 S<sl  0.4  0.1    3 pipewire
  22844   12540 Sl    0.4  0.9   21 Isolated Web Co
  16056       2 I     0.3  0.0    1 kworker/u20:3-events_unbound
  22824    2920 Ssl   0.3  0.0    5 speech-dispatch
  19195       2 I     0.2  0.0    1 kworker/u20:0-flush-259:0
   1636       1 Ssl   0.2  0.9   14 dockerd
  22070       2 I     0.2  0.0    1 kworker/u20:1-flush-259:0

