UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root           1       0       1  0    1 03:23 ?        00:00:01 /usr/lib/systemd/systemd --switched-root --system --deserialize=52 splash
root           2       0       2  0    1 03:23 ?        00:00:00 [kthreadd]
root           3       2       3  0    1 03:23 ?        00:00:00 [pool_workqueue_release]
root           4       2       4  0    1 03:23 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2       5  0    1 03:23 ?        00:00:00 [kworker/R-sync_wq]
root           6       2       6  0    1 03:23 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2       7  0    1 03:23 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2       8  0    1 03:23 ?        00:00:00 [kworker/R-netns]
root           9       2       9  0    1 03:23 ?        00:00:00 [kworker/0:0-events]
root          10       2      10  0    1 03:23 ?        00:00:00 [kworker/0:0H-kblockd]
root          13       2      13  0    1 03:23 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2      14  0    1 03:23 ?        00:00:00 [ksoftirqd/0]
root          15       2      15  0    1 03:23 ?        00:00:00 [rcu_preempt]
root          16       2      16  0    1 03:23 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          17       2      17  0    1 03:23 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          18       2      18  0    1 03:23 ?        00:00:00 [migration/0]
root          19       2      19  0    1 03:23 ?        00:00:00 [idle_inject/0]
root          20       2      20  0    1 03:23 ?        00:00:00 [cpuhp/0]
root          21       2      21  0    1 03:23 ?        00:00:00 [cpuhp/1]
root          22       2      22  0    1 03:23 ?        00:00:00 [idle_inject/1]
root          23       2      23  0    1 03:23 ?        00:00:00 [migration/1]
root          24       2      24  0    1 03:23 ?        00:00:00 [ksoftirqd/1]
root          26       2      26  0    1 03:23 ?        00:00:00 [kworker/1:0H-kblockd]
root          27       2      27  0    1 03:23 ?        00:00:00 [cpuhp/2]
root          28       2      28  0    1 03:23 ?        00:00:00 [idle_inject/2]
root          29       2      29  0    1 03:23 ?        00:00:00 [migration/2]
root          30       2      30  0    1 03:23 ?        00:00:00 [ksoftirqd/2]
root          32       2      32  0    1 03:23 ?        00:00:00 [kworker/2:0H-kblockd]
root          33       2      33  0    1 03:23 ?        00:00:00 [cpuhp/3]
root          34       2      34  0    1 03:23 ?        00:00:00 [idle_inject/3]
root          35       2      35  0    1 03:23 ?        00:00:00 [migration/3]
root          36       2      36  0    1 03:23 ?        00:00:00 [ksoftirqd/3]
root          38       2      38  0    1 03:23 ?        00:00:00 [kworker/3:0H-kblockd]
root          39       2      39  0    1 03:23 ?        00:00:00 [cpuhp/4]
root          40       2      40  0    1 03:23 ?        00:00:00 [idle_inject/4]
root          41       2      41  0    1 03:23 ?        00:00:00 [migration/4]
root          42       2      42  0    1 03:23 ?        00:00:00 [ksoftirqd/4]
