top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
  18235 ollama    20   0 2145248   1,5g  14748 R  91,7  13,1   2:13.37 llama-s+
  18248 ollama    20   0 2145248   1,5g  14748 R  91,7  13,1   2:12.25 llama-s+
  18245 ollama    20   0 2145248   1,5g  14748 R  83,3  13,1   2:10.49 llama-s+
  18246 ollama    20   0 2145248   1,5g  14748 R  75,0  13,1   2:12.50 llama-s+
  18247 ollama    20   0 2145248   1,5g  14748 R  75,0  13,1   2:10.78 llama-s+
  13346 bruno     20   0 3050188 399672 146820 S  16,7   3,4   0:43.27 Isolate+
   3235 bruno     20   0 5707180 509808 169628 S   8,3   4,4   3:31.45 gnome-s+
   3284 bruno     20   0 5707180 509808 169628 S   8,3   4,4   1:31.08 llvmpip+
   3285 bruno     20   0 5707180 509808 169628 S   8,3   4,4   1:31.75 llvmpip+
  12525 bruno     20   0   11,9g 814588 289852 S   8,3   7,0   1:02.87 Renderer
  12601 bruno     20   0 2715940 208368 110520 S   8,3   1,8   0:00.39 Timer
  13351 bruno     20   0 3050188 399672 146820 S   8,3   3,4   0:03.40 IPC I/O+
  19342 bruno     20   0   10904   5628   3136 R   8,3   0,0   0:00.01 top
      1 root      20   0   26888  17548  10788 S   0,0   0,2   0:01.91 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root      20   0       0      0      0 I   0,0   0,0   0:00.42 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
     13 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.27 ksoftir+
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.95 rcu_pre+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_exp+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.20 rcu_exp+
     18 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migrati+
     19 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
